Material ID,Formula
mp-1114367,Rb2NaPdF6
mp-556353,Rb2NaNiF6
mp-1114449,Rb2NaNdI6
mp-1114366,Rb2NaNdF6
mp-1114593,Rb2NaNdCl6
mp-1114592,Rb2NaNdBr6
mp-1114448,Rb2NaNbF6
mp-1114447,Rb2NaMoI6
mp-560963,Rb2NaMoF6
mp-1114446,Rb2NaMoCl6
mp-1114445,Rb2NaMoBr6
mp-1114644,Rb2NaMnF6
mp-1114444,Rb2NaLuCl6
mp-1114443,Rb2NaLaCl6
mp-1114365,Rb2NaIrF6
mp-1114591,Rb2NaInI6
mp-989578,Rb2NaInF6
mp-989547,Rb2NaInCl6
mp-1114590,Rb2NaInBr6
mp-1114441,Rb2NaGdCl6
mp-989400,Rb2NaGaF6
mp-1114669,Rb2NaGaCl6
mp-1110631,Rb2NaGaBr6
mp-558078,Rb2NaFeF6
mp-1114589,Rb2NaEuCl6
mp-1114439,Rb2NaErCl6
mp-1114438,Rb2NaDyCl6
mp-560936,Rb2NaCrF6
mp-559563,Rb2NaCoF6
mp-1114513,Rb2NaCeI6
mp-1114437,Rb2NaCeF6
mp-1114588,Rb2NaCeCl6
mp-1114587,Rb2NaCeBr6
mp-1114586,Rb2NaBiI6
mp-560037,Rb2NaBiF6
mp-989520,Rb2NaBiCl6
mp-1114585,Rb2NaBiBr6
mp-1114363,Rb2NaAuF6
mp-1114661,Rb2NaAuBr6
mp-989523,Rb2NaAsF6
mp-1114362,Rb2NaAsCl6
mp-1114660,Rb2NaAsBr6
mp-1079583,Rb2NaAlF6
mp-1114433,Rb2NaAlCl6
mp-1113478,Rb2MoAuF6
mp-1114711,Rb2MnTlF6
mp-1113488,Rb2MnHgF6
mp-1113881,Rb2MnCuF6
mp-1113495,Rb2MnAuF6
mp-1113738,Rb2MnAgF6
mp-1111035,Rb2LuCuCl6
mp-1113737,Rb2LuAgCl6
mp-1114584,Rb2LiYI6
mp-1114432,Rb2LiYF6
mp-1114583,Rb2LiYCl6
mp-1114582,Rb2LiYBr6
mp-1114705,Rb2LiVF6
mp-1114667,Rb2LiTmCl6
mp-1114360,Rb2LiTlF6
mp-989579,Rb2LiTlCl6
mp-1114581,Rb2LiTlBr6
mp-1114704,Rb2LiTiF6
mp-1114431,Rb2LiTbCl6
mp-1114580,Rb2LiTaI6
mp-1114703,Rb2LiTaF6
mp-1114579,Rb2LiTaCl6
mp-1114430,Rb2LiTaBr6
mp-1114578,Rb2LiSmCl6
mp-1114702,Rb2LiScF6
mp-1114429,Rb2LiScCl6
mp-1114577,Rb2LiSbI6
mp-1114576,Rb2LiSbF6
mp-1114428,Rb2LiSbCl6
mp-1114575,Rb2LiSbBr6
mp-1114701,Rb2LiRuF6
mp-1114700,Rb2LiRhF6
mp-1114574,Rb2LiPrI6
mp-1114427,Rb2LiPrF6
mp-1114573,Rb2LiPrCl6
mp-1114572,Rb2LiPrBr6
mp-1114426,Rb2LiNiF6
mp-1114425,Rb2LiNdI6
mp-1114424,Rb2LiNdF6
mp-1114571,Rb2LiNdCl6
mp-1114570,Rb2LiNdBr6
mp-1110630,Rb2LiNbF6
mp-1114569,Rb2LiMoI6
mp-1114359,Rb2LiMoF6
mp-1114423,Rb2LiMoCl6
mp-1114422,Rb2LiMoBr6
mp-1114568,Rb2LiMnF6
mp-1114421,Rb2LiLuCl6
mp-1114567,Rb2LiLaCl6
mp-1114420,Rb2LiIrF6
mp-1114419,Rb2LiInF6
mp-989583,Rb2LiInCl6
mp-1114418,Rb2LiGdCl6
mp-1114642,Rb2LiGaF6
mp-1114508,Rb2LiEuCl6
mp-1114566,Rb2LiErCl6
mp-1114565,Rb2LiDyCl6
mp-1114699,Rb2LiCoF6
mp-1114564,Rb2LiCeI6
mp-1114358,Rb2LiCeF6
mp-1114417,Rb2LiCeCl6
mp-1114658,Rb2LiCeBr6
mp-1114563,Rb2LiBiI6
mp-1114416,Rb2LiBiF6
mp-1114562,Rb2LiBiCl6
mp-1114561,Rb2LiBiBr6
mp-1114415,Rb2LiAuF6
mp-1114698,Rb2LiAsF6
mp-1114697,Rb2LiAlF6
mp-1113750,Rb2LaAgCl6
mp-1111048,Rb2IrAuF6
mp-1114392,Rb2InSbI6
mp-1114391,Rb2InSbF6
mp-1114525,Rb2InSbCl6
mp-1114390,Rb2InSbBr6
mp-1113551,Rb2InHgI6
mp-1112225,Rb2InHgF6
mp-1113321,Rb2InHgCl6
mp-1113550,Rb2InHgBr6
mp-1114524,Rb2InGaI6
mp-989566,Rb2InGaF6
mp-1114389,Rb2InGaCl6
mp-1114649,Rb2InGaBr6
mp-1114084,Rb2InCuF6
mp-1113598,Rb2InCuCl6
mp-1113404,Rb2InCuBr6
mp-1114388,Rb2InBiF6
mp-1114523,Rb2InBiCl6
mp-1113659,Rb2InAuI6
mp-1113879,Rb2InAuF6
mp-1113497,Rb2InAuCl6
mp-1113658,Rb2InAuBr6
mp-1114522,Rb2InAsI6
mp-1114387,Rb2InAsF6
mp-1114648,Rb2InAsCl6
mp-1110632,Rb2InAsBr6
mp-1113727,Rb2InAgI6
mp-1114094,Rb2InAgF6
mp-1113761,Rb2InAgCl6
mp-1113438,Rb2InAgBr6
mp-1111041,Rb2HgSbI6
mp-1111947,Rb2HgSbF6
mp-1113385,Rb2HgSbCl6
mp-1113552,Rb2HgSbBr6
mp-1114136,Rb2HgRuF6
mp-1111016,Rb2HgRhF6
mp-1113884,Rb2HgPdF6
mp-1112226,Rb2HgMoF6
mp-1111032,Rb2HgIrF6
mp-1111040,Rb2HgBiI6
mp-1112409,Rb2HgBiF6
mp-1113548,Rb2HgBiCl6
mp-1113547,Rb2HgBiBr6
mp-1113476,Rb2HgAuF6
mp-1113546,Rb2HgAuBr6
mp-1113545,Rb2HgAsI6
mp-1112408,Rb2HgAsF6
mp-1113319,Rb2HgAsCl6
mp-1113564,Rb2HgAsBr6
mp-1111486,Rb2GdAgCl6
mp-1113549,Rb2GaHgI6
mp-1114081,Rb2GaHgF6
mp-1113320,Rb2GaHgCl6
mp-1113384,Rb2GaHgBr6
mp-1111036,Rb2GaCuF6
mp-1113657,Rb2GaAuI6
mp-1113501,Rb2GaAuF6
mp-1111038,Rb2GaAuCl6
mp-1113398,Rb2GaAuBr6
mp-1113726,Rb2GaAgI6
mp-1113760,Rb2GaAgF6
mp-1113785,Rb2GaAgCl6
mp-1113859,Rb2GaAgBr6
mp-1114083,Rb2FeHgF6
mp-1113878,Rb2FeAuF6
mp-1113297,Rb2EuCuCl6
mp-1113784,Rb2EuAgCl6
mp-1113288,Rb2ErCuCl6
mp-1113725,Rb2ErAgCl6
mp-1113403,Rb2DyCuCl6
mp-1113793,Rb2DyAgCl6
mp-1112429,Rb2CuSbI6
mp-1113559,Rb2CuSbCl6
mp-1113383,Rb2CuSbBr6
mp-1113882,Rb2CuRuF6
mp-1111483,Rb2CuPdF6
mp-1113474,Rb2CuNiF6
mp-1112459,Rb2CuMoI6
mp-1113298,Rb2CuMoCl6
mp-1113599,Rb2CuMoBr6
mp-1113596,Rb2CuBiI6
mp-1113342,Rb2CuBiCl6
mp-1113310,Rb2CuBiBr6
mp-1111034,Rb2CuAuF6
