Bond,Energy
Bi-Br,240.2
D-Li,240.24
H-Rh,241
Pd-Y,241
Cl-S,241.8
Au-Rb,243
Br-Fe,243
H-In,243.1
I-Si,243.1
Co-H,244.9
La-La,244.9
Au-Eu,245
In-Se,245.2
Au-V,246
D-In,246
Al-Si,246.9
Au-Ni,247
Br-Pb,248.5
Pb-Te,249.8
Au-Ca,250.4
Au-Se,251
Eu-Te,251
H-Mn,251
Se-Sr,251
Ce-Ce,251.7
Bi-Sb,252.7
Au-Cs,253
C-I,253.1
Au-S,253.6
Co-Y,253.71
Al-Pd,254.4
Ge-Pd,254.7
Au-Ba,254.8
Cu-H,254.8
Cu-Se,255.2
Au-Sn,256.5
I-Yb,257.3
Te-Te,257.6
Si-Y,258
Au-Dy,259
Ba-Rh,259.4
V-Zr,260.6
I-Tm,260.8
Cl-F,260.83
Be-I,261
Pd-Si,261
Ge-H,263.2
I-Lu,263.2
Al-Ti,263.4
Au-Sr,264
H-Sn,264
Al-Al,264.3
Ge-Ge,264.4
Ga-Te,265
Ga-H,265.9
I-Mo,266.9
Au-Ho,267
Co-Nb,267.02
Cl-O,267.47
Al-C,267.7
Al-Te,268
Ge-I,268
No-O,268
Eu-Li,268.1
Dy-I,269
Hg-O,269
V-V,269.3
Ge-Sc,270
Na-O,270
Co-D,270.2
As-D,270.3
Cu-D,270.3
H-Te,270.7
K-O,271.5
Nb-Ni,271.9
B-Sc,272
B-Ti,272
Sm-Te,272.4
Au-Ge,273.2
Ni-Pt,273.7
As-H,274
Se-Tm,274
Co-Si,274.4
Cu-S,274.5
Ho-I,275.1
Au-I,276
O-Rb,276
Li-Tm,276.1
Sb-Te,277.4
Ge-Y,279
Ag-Cl,279.1
Ni-Zr,279.8
Au-Cl,280
Au-Sc,280
Br-F,280
Co-I,280
Ag-Br,280.3
Bi-Se,280.3
Br-N,280.8
Bi-P,281.7
I-Mn,282.8
Bi-D,283.7
Ni-Y,283.92
Au-Li,284.5
Ca-I,284.7
Au-Tb,285
I-Tl,285
Au-In,286
Cr-I,287
Cu-O,287.4
In-S,287.9
Al-H,288
Eu-I,288.3
B-Y,289
Cu-I,289
Sc-Te,289
Te-Ti,289
Au-Ga,290
B-B,290
Ge-Ni,290.3
Al-D,290.4
Au-Bi,293
Cs-O,293
I-Ni,293
P-U,293
I-Sm,293.1
H-Si,293.3
Se-Te,293.3
Au-Nd,294
Au-F,294.1
Br-Yb,295.4
Cr-Nb,295.72
As-I,296.6
B-Th,297
Br-Se,297
Fe-Si,297
Ge-Si,297
H-P,297
P-Te,297.9
Zr-Zr,298.2
H-I,298.26
D-P,299
I-U,299
Br-Tm,299.1
Bi-Cl,300.4
Au-H,300.5
B-Cd,301
Cl-Pb,301
I-Sr,301
Mn-S,301
Br-Lu,301.5
I-Nd,301.5
Sb-Sb,301.7
D-Lu,302
Nb-Ti,302
D-I,302.33
D-Si,302.5
Eu-Se,302.9
Pb-Se,302.9
I-Na,304.2
Au-Si,304.6
B-Ce,305
Cd-F,305
Nd-Te,305
P-W,305
I-Ti,306
I-Pr,306.2
Co-Zr,306.39
Pt-Pt,306.7
I-In,306.9
Au-Y,310
Si-Si,310
Au-Pr,311
Cl-Mg,312
D-Mn,312
H-Se,312.5
Li-S,312.5
Br-Mo,313.4
Br-Sb,314
Br-Mn,314.2
Bi-S,315.5
Er-I,315.8
Be-Br,316
B-Si,317
Br-Mg,317.96
Al-Se,318
Au-U,318
Br-C,318
Ni-Si,318
I-Rb,318.8
Ce-Pd,319
Br-Ho,321.8
Au-Ce,322
B-U,322
Cl-Se,322
Dy-Se,322
Au-D,322.2
I-K,322.5
Ba-I,322.6
Lu-Te,325
Cl-Lu,325.7
Al-Au,325.9
Al-U,326
Br-Co,326
Er-Se,326
Pr-Te,326
Br-Cr,328
Hf-Hf,328
Fe-S,328.9
Br-W,329.3
H-Pt,330
Tc-Tc,330
As-Sb,330.5
Se-Se,330.5
Br-Cu,331
Br-Tl,331
Cl-Sc,331
Co-S,331
Cr-S,331
Se-Sm,331
Br-Sm,331.4
Al-S,332
Au-Lu,332
Ho-Se,333
Ce-I,333.8
Gd-I,333.8
Cl-N,333.9
Ga-I,334
B-La,335
Ca-S,335
S-Te,335
Cl-Fe,335.5
I-Tb,336.2
Br-Sn,337
C-Ni,337
Bi-O,337.2
Cl-Mn,337.6
Sn-Te,338.1
C-H,338.4
Cs-I,338.5
S-Sr,338.5
Br-Ca,339
F-Se,339
Tb-Te,339
Te-Y,339
Br-Dy,339.3
Br-Nd,339.7
Li-O,340.5
B-D,341
Gd-Te,341
C-D,341.4
D-N,341.6
Cl-Ra,343
F-S,343.5
Cl-Co,343.9
Br-Pr,344.5
B-H,345.2
I-Li,345.2
In-O,346
B-P,347
Br-Ge,347
Ca-Pd,347
Se-V,347
Cl-Sn,350
D-S,350.62
B-Pd,351.5
P-Rh,353.1
H-S,353.57
B-Te,354
F-Pb,355
Ni-S,356
Ag-F,356.9
P-Sb,356.9
Br-Si,358.2
Mg-O,358.2
Br-Ni,360
Cl-Sb,360
B-I,361
I-Th,361
Ir-Ir,361
Br-Er,361.3
Mn-O,362
Br-Na,363.1
P-Si,363.6
P-Se,363.7
Br-Th,364
F-Zn,364
Rh-V,364
Br-Sr,365
Eu-S,365.7
Ni-O,366
Br-H,366.16
Bi-F,366.5
Au-B,367.8
S-Tm,368
Nb-V,369.3
Al-I,369.9
Br-D,370.74
S-Se,371.1
Be-S,372
Br-Gd,372
P-Th,372
Cl-Ni,372.3
Br-T,372.77
Cl-Tl,372.8
Br-Ti,373
Br-Ce,373.2
Ga-O,374
N-Pt,374.2
Cl-Yb,374.5
C-Fe,376.3
Br-U,377
O-Te,377
Cl-Cu,377.8
Cr-N,377.8
B-N,377.9
Cl-Tm,378
S-Sb,378.7
Br-K,379.1
As-S,379.5
Cl-Cr,380.3
Br-Rb,380.7
Se-Ti,381
O-Pb,382.4
Br-Tb,382.8
Ca-O,383.3
Sc-Se,385
La-Te,385.6
As-As,385.8
O-Yb,387.7
S-Sm,389
Br-Cs,389.1
Ta-Ta,390
Cl-Ge,390.8
Rh-Ti,390.8
B-Br,390.9
Cl-Dy,392.4
Nd-Se,393.9
C-Cl,394.9
Rh-Si,395
Ge-Te,396.7
Ru-Si,397.1
Co-O,397.4
Pt-Ti,397.5
Pb-S,398
Se-Sn,401.2
Ba-Br,402
Br-Ga,402
F-Ru,402
Lu-Pt,402
F-Lu,405
O-Rh,405
Cl-Ti,405.4
Cl-Eu,405.5
Fe-O,407
Br-In,409
Ca-Cl,409
Cl-Sr,409
Cl-Ho,409.1
As-F,410
I-La,411.7
Cl-Na,412.1
Cu-F,414
Dy-S,414
Ir-O,414
Ru-V,414
Os-Os,415
Cl-Si,416.7
Ba-S,418
C-Y,418
Er-S,418
Lu-Se,418
Md-O,418
S-Ti,418
O-Pt,418.6
Cl-Nd,418.7
Cl-Sm,418.7
Br-Li,418.8
Cl-W,419
Br-Zr,420
Ir-Ti,422
I-Y,422.6
C-Ti,423
C-V,423
Se-Tb,423
Cl-Pr,423.5
S-S,425.3
O-Sr,426.3
B-Cl,427
Cl-Rb,427.6
Ho-S,428.4
Al-Br,429.2
Si-Te,429.2
D-O,429.64
O-Se,429.7
H-O,429.91
F-Np,430
Gd-Se,430
Co-F,431
Cl-H,431.361
Re-Re,432
Cl-K,433
As-P,433.5
Be-Cl,434
O-Sb,434
Se-Y,435
Mo-Mo,435.5
H-H,435.7799
C-Pd,436
Cl-In,436
Cl-Cl,436.303
Cl-D,436.303
Be-O,437
N-Si,437.1
Cl-T,438.64
Br-V,439
Cl-U,439
F-Sb,439
F-Tl,439
D-H,439.2223
F-Ni,439.7
H-T,440.49
P-S,442
Ba-Cl,443
C-Ce,443
Fm-O,443
D-D,443.3197
Br-Sc,444
C-Sc,444
Rh-Sc,444
D-T,444.91
F-Mn,445.2
Cl-Cs,445.7
Rh-Y,446
Br-La,446.2
Pr-Se,446.4
T-T,446.67
B-Ru,446.9
C-Si,447
