"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","8.359687190783802","6.8955","1.464187190783802"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.65266156546204","4.3924","0.2602615654620397"
"Cs2CdF3","Cs","Cd","Cd","F","2.967162117874068","3.2859","0.3187378821259319"
"Cs2CdCl3","Cs","Cd","Cd","Cl","2.004256725806272","1.7462","0.2580567258062718"
"Cs2CdBr3","Cs","Cd","Cd","Br","1.7608938689581919","0.6968","1.0640938689581918"
"Cs2GeCl3","Cs","Ge","Ge","Cl","0.36528365366689286","3.67","3.304716346333107"
"Cs2GeI3","Cs","Ge","Ge","I","-0.6231146264509562","1.53","2.1531146264509564"
"Cs2GeBr3","Cs","Ge","Ge","Br","-0.04638685862209968","2.32","2.3663868586220995"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.2057935865665286","4.0445","0.8387064134334716"
"Cs2MnBr3","Cs","Mn","Mn","Br","-2.2901508719351114","1.2909","3.581050871935111"
"Cs2NiF3","Cs","Ni","Ni","F","4.4529533221032125","5.3618","0.9088466778967872"
"Cs2NiCl3","Cs","Ni","Ni","Cl","2.5089933977578767","0.8182","1.6907933977578766"
"Cs2PbF3","Cs","Pb","Pb","F","3.5097748250602763","2.9248","0.5849748250602764"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.389796614153056","3.0","0.610203385846944"
"Cs2PbI3","Cs","Pb","Pb","I","1.7098381031514691","1.73","0.02016189684853087"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.1086275256548106","2.3","0.19137247434518923"
"Cs2VCl3","Cs","V","V","Cl","2.420978066076941","0.4835","1.937478066076941"
"Cs2VBr3","Cs","V","V","Br","1.7613545020972197","0.6528","1.1085545020972196"
