formula,A,B1,B2,X,tolerance_factor,Eg,irA,rsA,rpA,rdA,XcA,eaA,ipA,hoalA,lualA,irB1,rsB1,rpB1,rdB1,XcB1,eaB1,ipB1,hoalB1,lualB1,irB2,rsB2,rpB2,rdB2,XcB2,eaB2,ipB2,hoalB2,lualB2,irX,rsX,rpX,rdX,XcX,eaX,ipX,hoalX,lualX
K2MgMgF6,K,Mg,Mg,F,1.024442507,6.9537,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2MnMnF6,K,Mn,Mn,F,0.917077354,2.6633,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2MnMnF6,K,Mn,Mn,F,0.917077354,2.6633,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2NiNiF6,K,Ni,Ni,F,1.039657,4.5488,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2VVF6,K,V,V,F,0.990616576,2.0744,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
K2ZnZnF6,K,Zn,Zn,F,1.014544512,3.6889,1.64,2.162,0.593,0,0.82,48.4,4.34066,6,7,0.74,1.065,0.311,0.293,17.9644,17.964,17.964,8,7,0.74,1.065,0.311,0.293,17.9644,17.964,17.964,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Na2MnMnCl6,Na,Mn,Mn,Cl,0.81687426,2.2823,1.39,1.713,0.278,0,0.93,52.8,5.13908,4,5,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Rb2CaCaF6,Rb,Ca,Ca,F,0.925611881,6.3974,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,1,1.69,0.539,0,1,2.37,11.871,7,6,1,1.69,0.539,0,1,2.37,11.871,7,6,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Rb2CdCdF6,Rb,Cd,Cd,F,0.816922607,3.1745,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Rb2HgHgF6,Rb,Hg,Hg,F,0.87314805,0.6524,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,1.14,1.126,0.494,0.607,2,0,18.759,15,14,1.14,1.126,0.494,0.607,2,0,18.759,15,14,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Rb2GeGeCl6,Rb,Ge,Ge,Cl,0.982711393,3.7552,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,0.73,0.886,1.09,0.261,15.93462,119,15.934,9,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Rb2MgMgF6,Rb,Mg,Mg,F,1.052036918,6.9384,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,0.72,1.279,0.247,0,15.03528,0,15.035,5,4,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Rb2MnMnF6,Rb,Mn,Mn,F,0.941779774,2.9422,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Rb2MnMnBr6,Rb,Mn,Mn,Br,0.891148272,1.182,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,0.96,1.278,0.392,0.389,15.63999,0,15.64,8,7,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Rb2NiNiCl6,Rb,Ni,Ni,Cl,0.998434775,0.7214,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Rb2NiNiBr6,Rb,Ni,Ni,Br,0.981944511,0.4723,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,0.69,1.139,0.339,0.325,18.16884,112,18.168,8,7,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Rb2PbPbI6,Rb,Pb,Pb,I,0.817657399,2,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,1.19,1.01,1.09,0.562,15.0322,35.1,15.028,16,15,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Rb2VVF6,Rb,V,V,F,1.01729985,2.4491,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Rb2VVBr6,Rb,V,V,Br,0.946237438,0.5839,1.72,2.287,0.735,0,0.82,46.9,4.17713,9,10,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,0.79,1.453,0.416,0.427,14.66,50.6,14.65,8,7,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
