"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","9.0607487255038","6.8955","2.1652487255037993"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.7407863529151655","4.3924","0.3483863529151652"
"Cs2CdF3","Cs","Cd","Cd","F","3.1989203499342693","3.2859","0.0869796500657305"
"Cs2CdCl3","Cs","Cd","Cd","Cl","1.3770068035209988","1.7462","0.3691931964790012"
"Cs2CdBr3","Cs","Cd","Cd","Br","0.9158791662011936","0.6968","0.2190791662011936"
"Cs2GeCl3","Cs","Ge","Ge","Cl","0.5775094819418882","3.67","3.0924905180581117"
"Cs2GeI3","Cs","Ge","Ge","I","0.07388960153730295","1.53","1.456110398462697"
"Cs2GeBr3","Cs","Ge","Ge","Br","0.3708047039599478","2.32","1.949195296040052"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.0975341579251108","4.0445","0.9469658420748894"
"Cs2MnBr3","Cs","Mn","Mn","Br","-1.8467045265097113","1.2909","3.137604526509711"
"Cs2NiF3","Cs","Ni","Ni","F","2.5098734184011846","5.3618","2.851926581598815"
"Cs2NiCl3","Cs","Ni","Ni","Cl","1.5637958837432961","0.8182","0.7455958837432961"
"Cs2PbF3","Cs","Pb","Pb","F","4.703175095741244","2.9248","1.7783750957412443"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.8098744654544134","3.0","0.19012553454558656"
"Cs2PbI3","Cs","Pb","Pb","I","1.656545158548397","1.73","0.07345484145160297"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.333314500096094","2.3","0.03331450009609416"
"Cs2VCl3","Cs","V","V","Cl","2.2008463178863167","0.4835","1.7173463178863166"
"Cs2VBr3","Cs","V","V","Br","1.4904949288138596","0.6528","0.8376949288138595"
