"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","8.302321953802448","6.8955","1.4068219538024476"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.516541930899393","4.3924","0.12414193089939296"
"Cs2CdF3","Cs","Cd","Cd","F","2.574294876376598","3.2859","0.7116051236234018"
"Cs2CdCl3","Cs","Cd","Cd","Cl","1.4071123564472146","1.7462","0.3390876435527854"
"Cs2CdBr3","Cs","Cd","Cd","Br","1.1122701414149105","0.6968","0.41547014141491057"
"Cs2GeCl3","Cs","Ge","Ge","Cl","0.6648837742977776","3.67","3.0051162257022224"
"Cs2GeI3","Cs","Ge","Ge","I","-0.4041858702710215","1.53","1.9341858702710215"
"Cs2GeBr3","Cs","Ge","Ge","Br","0.2194173523655536","2.32","2.1005826476344462"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.155448538075234","4.0445","0.8890514619247663"
"Cs2MnBr3","Cs","Mn","Mn","Br","-2.1220392319794428","1.2909","3.4129392319794425"
"Cs2NiF3","Cs","Ni","Ni","F","4.768686037235057","5.3618","0.5931139627649431"
"Cs2NiCl3","Cs","Ni","Ni","Cl","2.688279975655405","0.8182","1.870079975655405"
"Cs2PbF3","Cs","Pb","Pb","F","3.7331995146371355","2.9248","0.8083995146371357"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.400076695875441","3.0","0.5999233041245589"
"Cs2PbI3","Cs","Pb","Pb","I","1.5914146448064912","1.73","0.13858535519350879"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.0656240924997746","2.3","0.2343759075002252"
"Cs2VCl3","Cs","V","V","Cl","2.8394142523393384","0.4835","2.3559142523393386"
"Cs2VBr3","Cs","V","V","Br","2.115919049757167","0.6528","1.4631190497571671"
