"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","8.984256615758113","6.8955","2.088756615758113"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.6521485357079655","4.3924","0.2597485357079652"
"Cs2CdF3","Cs","Cd","Cd","F","3.157434822867799","3.2859","0.12846517713220074"
"Cs2CdCl3","Cs","Cd","Cd","Cl","1.2885187052979745","1.7462","0.45768129470202545"
"Cs2CdBr3","Cs","Cd","Cd","Br","0.8155986153324193","0.6968","0.11879861533241931"
"Cs2GeCl3","Cs","Ge","Ge","Cl","1.066416791818483","3.67","2.603583208181517"
"Cs2GeI3","Cs","Ge","Ge","I","0.6738049106506878","1.53","0.8561950893493122"
"Cs2GeBr3","Cs","Ge","Ge","Br","0.9058898180919641","2.32","1.4141101819080357"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.183514542339708","4.0445","0.8609854576602922"
"Cs2MnBr3","Cs","Mn","Mn","Br","-3.0228410012268796","1.2909","4.313741001226879"
"Cs2NiF3","Cs","Ni","Ni","F","3.7056968720462464","5.3618","1.6561031279537533"
"Cs2NiCl3","Cs","Ni","Ni","Cl","2.937795330305562","0.8182","2.119595330305562"
"Cs2PbF3","Cs","Pb","Pb","F","4.168525195515031","2.9248","1.2437251955150308"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.421400420912505","3.0","0.5785995790874949"
"Cs2PbI3","Cs","Pb","Pb","I","1.3572778207053489","1.73","0.3727221792946511"
"Cs2PbBr3","Cs","Pb","Pb","Br","1.9816865025641164","2.3","0.31831349743588344"
"Cs2VCl3","Cs","V","V","Cl","2.2544986761486143","0.4835","1.7709986761486143"
"Cs2VBr3","Cs","V","V","Br","1.5992920362004952","0.6528","0.9464920362004952"
