"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","9.17169709553491","6.8955","2.2761970955349096"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.751743055053112","4.3924","0.35934305505311137"
"Cs2CdF3","Cs","Cd","Cd","F","3.8468395600701797","3.2859","0.5609395600701799"
"Cs2CdCl3","Cs","Cd","Cd","Cl","2.119885427679151","1.7462","0.3736854276791508"
"Cs2CdBr3","Cs","Cd","Cd","Br","1.6826616672422006","0.6968","0.9858616672422006"
"Cs2GeCl3","Cs","Ge","Ge","Cl","1.3647452976697423","3.67","2.3052547023302576"
"Cs2GeI3","Cs","Ge","Ge","I","0.9683679178565399","1.53","0.5616320821434602"
"Cs2GeBr3","Cs","Ge","Ge","Br","1.203218908326562","2.32","1.1167810916734378"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.1708706565705143","4.0445","0.873629343429486"
"Cs2MnBr3","Cs","Mn","Mn","Br","-3.3429240216908056","1.2909","4.633824021690805"
"Cs2NiF3","Cs","Ni","Ni","F","4.007509464032182","5.3618","1.3542905359678175"
"Cs2NiCl3","Cs","Ni","Ni","Cl","3.1064847579605157","0.8182","2.2882847579605157"
"Cs2PbF3","Cs","Pb","Pb","F","4.500878246616594","2.9248","1.5760782466165941"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.6669734638840055","3.0","0.33302653611599453"
"Cs2PbI3","Cs","Pb","Pb","I","1.5498021208932187","1.73","0.1801978791067813"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.2053561114098557","2.3","0.09464388859014417"
"Cs2VCl3","Cs","V","V","Cl","2.1761391569323223","0.4835","1.6926391569323223"
"Cs2VBr3","Cs","V","V","Br","1.4627992754224124","0.6528","0.8099992754224123"
