"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","8.177755049385041","6.8955","1.282255049385041"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.49742680233885","4.3924","0.10502680233885009"
"Cs2CdF3","Cs","Cd","Cd","F","2.491470538794374","3.2859","0.7944294612056257"
"Cs2CdCl3","Cs","Cd","Cd","Cl","1.3343998579352956","1.7462","0.4118001420647044"
"Cs2CdBr3","Cs","Cd","Cd","Br","1.0419579804874957","0.6968","0.3451579804874957"
"Cs2GeCl3","Cs","Ge","Ge","Cl","0.5307287813520816","3.67","3.1392712186479184"
"Cs2GeI3","Cs","Ge","Ge","I","-0.446899988948644","1.53","1.976899988948644"
"Cs2GeBr3","Cs","Ge","Ge","Br","0.12394296131446936","2.32","2.1960570386855305"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.1668041076720783","4.0445","0.8776958923279219"
"Cs2MnBr3","Cs","Mn","Mn","Br","-2.9626004191402444","1.2909","4.253500419140244"
"Cs2NiF3","Cs","Ni","Ni","F","4.363589464546976","5.3618","0.9982105354530235"
"Cs2NiCl3","Cs","Ni","Ni","Cl","2.481657564401303","0.8182","1.6634575644013028"
"Cs2PbF3","Cs","Pb","Pb","F","3.7422459685908507","2.9248","0.8174459685908508"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.464538655887395","3.0","0.5354613441126048"
"Cs2PbI3","Cs","Pb","Pb","I","1.6885138595150693","1.73","0.04148614048493071"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.1436731360488466","2.3","0.15632686395115325"
"Cs2VCl3","Cs","V","V","Cl","2.1579286814212537","0.4835","1.6744286814212537"
"Cs2VBr3","Cs","V","V","Br","1.4864693626245753","0.6528","0.8336693626245752"
