"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","8.963608799227586","6.8955","2.068108799227586"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.747469545474814","4.3924","0.35506954547481406"
"Cs2CdF3","Cs","Cd","Cd","F","3.3479863729371573","3.2859","0.062086372937157464"
"Cs2CdCl3","Cs","Cd","Cd","Cl","1.655206910229026","1.7462","0.09099308977097387"
"Cs2CdBr3","Cs","Cd","Cd","Br","1.2267502492577478","0.6968","0.5299502492577478"
"Cs2GeCl3","Cs","Ge","Ge","Cl","1.0231355038158654","3.67","2.6468644961841346"
"Cs2GeI3","Cs","Ge","Ge","I","0.6736707714117074","1.53","0.8563292285882926"
"Cs2GeBr3","Cs","Ge","Ge","Br","0.8812437127926387","2.32","1.4387562872073612"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.0075818722543772","4.0445","1.036918127745623"
"Cs2MnBr3","Cs","Mn","Mn","Br","-3.4097934095152596","1.2909","4.700693409515259"
"Cs2NiF3","Cs","Ni","Ni","F","3.5563904540322255","5.3618","1.8054095459677741"
"Cs2NiCl3","Cs","Ni","Ni","Cl","2.8266127969873196","0.8182","2.0084127969873196"
"Cs2PbF3","Cs","Pb","Pb","F","4.261634441569186","2.9248","1.3368344415691857"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.535083190239675","3.0","0.4649168097603251"
"Cs2PbI3","Cs","Pb","Pb","I","1.483338492544135","1.73","0.2466615074558649"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.1004972720074875","2.3","0.19950272799251234"
"Cs2VCl3","Cs","V","V","Cl","2.3002436293681967","0.4835","1.8167436293681967"
"Cs2VBr3","Cs","V","V","Br","1.5962048137407692","0.6528","0.9434048137407691"
