"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","9.014225753513529","6.8955","2.1187257535135284"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.686586931053171","4.3924","0.2941869310531704"
"Cs2CdF3","Cs","Cd","Cd","F","3.38837955554618","3.2859","0.10247955554618038"
"Cs2CdCl3","Cs","Cd","Cd","Cl","1.8126657534162405","1.7462","0.0664657534162405"
"Cs2CdBr3","Cs","Cd","Cd","Br","1.41414537606488","0.6968","0.7173453760648801"
"Cs2GeCl3","Cs","Ge","Ge","Cl","1.4113064373113957","3.67","2.258693562688604"
"Cs2GeI3","Cs","Ge","Ge","I","0.9308542814596876","1.53","0.5991457185403124"
"Cs2GeBr3","Cs","Ge","Ge","Br","1.2133520779607352","2.32","1.1066479220392647"
"Cs2MgBr3","Cs","Mg","Mg","Br","3.2823603882050065","4.0445","0.7621396117949937"
"Cs2MnBr3","Cs","Mn","Mn","Br","-3.3509397391508173","1.2909","4.641839739150817"
"Cs2NiF3","Cs","Ni","Ni","F","4.313640186725024","5.3618","1.0481598132749754"
"Cs2NiCl3","Cs","Ni","Ni","Cl","3.109262286629928","0.8182","2.291062286629928"
"Cs2PbF3","Cs","Pb","Pb","F","4.169297507990905","2.9248","1.2444975079909049"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.5963771832743987","3.0","0.4036228167256013"
"Cs2PbI3","Cs","Pb","Pb","I","1.6395782030376722","1.73","0.09042179696232777"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.200900595395524","2.3","0.09909940460447597"
"Cs2VCl3","Cs","V","V","Cl","2.4117066993103435","0.4835","1.9282066993103435"
"Cs2VBr3","Cs","V","V","Br","1.660355931549475","0.6528","1.0075559315494749"
