"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2CuPdI6","Ag","Cu","Pd","I","0.8355625122340188","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.76","0.0","0.497","0.567","2.2","53.7","31.9373","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2CuPdBr6","Ag","Cu","Pd","Br","0.8469596935469182","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.76","0.0","0.497","0.567","2.2","53.7","31.9373","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2CuSbF6","Ag","Cu","Sb","F","0.889421059709344","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2CuSbCl6","Ag","Cu","Sb","Cl","0.8551702363469399","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2CuSbI6","Ag","Cu","Sb","I","0.8355625122340188","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2CuSbBr6","Ag","Cu","Sb","Br","0.8469596935469182","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2CuScF6","Ag","Cu","Sc","F","0.8926474964434773","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2CuScCl6","Ag","Cu","Sc","Cl","0.8576879112331428","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2CuScI6","Ag","Cu","Sc","I","0.8376958633290843","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2CuScBr6","Ag","Cu","Sc","Br","0.8493145397755011","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
