id,a_atom,b1_atom,b2_atom,x_atom,cubic,ortho,ind_gap
Cs.Tl.Al.Cl-ortho,Cs,Tl,Al,Cl,0,1,3.6166
Cs.Tl.As.Cl-ortho,Cs,Tl,As,Cl,0,1,1.588
Cs.Tl.Bi.Cl-ortho,Cs,Tl,Bi,Cl,0,1,1.7189
Cs.Tl.Ga.Cl-ortho,Cs,Tl,Ga,Cl,0,1,2.4604
Cs.Tl.In.Cl-ortho,Cs,Tl,In,Cl,0,1,2.6723
Cs.Tl.Sb.Cl-ortho,Cs,Tl,Sb,Cl,0,1,1.666
K.Ag.Al.Cl-ortho,K,Ag,Al,Cl,0,1,2.5992
K.Ag.As.Cl-ortho,K,Ag,As,Cl,0,1,1.6011
K.Ag.Bi.Cl-ortho,K,Ag,Bi,Cl,0,1,1.7561
K.Ag.Ga.Cl-ortho,K,Ag,Ga,Cl,0,1,1.4588
K.Ag.In.Cl-ortho,K,Ag,In,Cl,0,1,1.5675
K.Ag.Sb.Cl-ortho,K,Ag,Sb,Cl,0,1,1.7291
K.Au.Al.Cl-ortho,K,Au,Al,Cl,0,1,2.6579
K.Au.As.Cl-ortho,K,Au,As,Cl,0,1,2.0922
K.Au.Bi.Cl-ortho,K,Au,Bi,Cl,0,1,2.2396
K.Au.Ga.Cl-ortho,K,Au,Ga,Cl,0,1,2.0261
K.Au.In.Cl-ortho,K,Au,In,Cl,0,1,1.8298
K.Au.Sb.Cl-ortho,K,Au,Sb,Cl,0,1,2.1145
K.Cu.Al.Cl-ortho,K,Cu,Al,Cl,0,1,1.2013
K.Cu.As.Cl-ortho,K,Cu,As,Cl,0,1,0.6427
K.Cu.Bi.Cl-ortho,K,Cu,Bi,Cl,0,1,1.1863
K.Cu.Ga.Cl-ortho,K,Cu,Ga,Cl,0,1,0.8205
K.Cu.In.Cl-ortho,K,Cu,In,Cl,0,1,0.3592
K.Cu.Sb.Cl-ortho,K,Cu,Sb,Cl,0,1,1.2445
K.In.Al.Cl-ortho,K,In,Al,Cl,0,1,3.3174
K.In.As.Cl-ortho,K,In,As,Cl,0,1,1.513
K.In.Bi.Cl-ortho,K,In,Bi,Cl,0,1,1.5136
K.In.Ga.Cl-ortho,K,In,Ga,Cl,0,1,2.0393
K.In.In.Cl-ortho,K,In,In,Cl,0,1,2.1947
K.In.Sb.Cl-ortho,K,In,Sb,Cl,0,1,1.6865
K.Tl.Al.Cl-ortho,K,Tl,Al,Cl,0,1,3.7537
K.Tl.As.Cl-ortho,K,Tl,As,Cl,0,1,2.1296
K.Tl.Bi.Cl-ortho,K,Tl,Bi,Cl,0,1,2.0945
K.Tl.Ga.Cl-ortho,K,Tl,Ga,Cl,0,1,2.7794
K.Tl.In.Cl-ortho,K,Tl,In,Cl,0,1,2.919
K.Tl.Sb.Cl-ortho,K,Tl,Sb,Cl,0,1,2.1407
Rb.Ag.Al.Cl-ortho,Rb,Ag,Al,Cl,0,1,2.2615
Rb.Ag.As.Cl-ortho,Rb,Ag,As,Cl,0,1,1.3779
Rb.Ag.Bi.Cl-ortho,Rb,Ag,Bi,Cl,0,1,1.6589
Rb.Ag.Ga.Cl-ortho,Rb,Ag,Ga,Cl,0,1,1.0358
Rb.Ag.In.Cl-ortho,Rb,Ag,In,Cl,0,1,1.3193
Rb.Ag.Sb.Cl-ortho,Rb,Ag,Sb,Cl,0,1,1.549
Rb.Au.Al.Cl-ortho,Rb,Au,Al,Cl,0,1,2.7104
Rb.Au.As.Cl-ortho,Rb,Au,As,Cl,0,1,2.1674
Rb.Au.Bi.Cl-ortho,Rb,Au,Bi,Cl,0,1,2.253
Rb.Au.Ga.Cl-ortho,Rb,Au,Ga,Cl,0,1,2.0708
Rb.Au.In.Cl-ortho,Rb,Au,In,Cl,0,1,1.7497
Rb.Au.Sb.Cl-ortho,Rb,Au,Sb,Cl,0,1,2.1466
Rb.Cu.Al.Cl-ortho,Rb,Cu,Al,Cl,0,1,1.4505
Rb.Cu.As.Cl-ortho,Rb,Cu,As,Cl,0,1,0.5129
Rb.Cu.Bi.Cl-ortho,Rb,Cu,Bi,Cl,0,1,1.3267
Rb.Cu.Ga.Cl-ortho,Rb,Cu,Ga,Cl,0,1,0.7079
Rb.Cu.In.Cl-ortho,Rb,Cu,In,Cl,0,1,0.1536
Rb.Cu.Sb.Cl-ortho,Rb,Cu,Sb,Cl,0,1,0.655
Rb.In.Al.Cl-ortho,Rb,In,Al,Cl,0,1,3.1603
Rb.In.As.Cl-ortho,Rb,In,As,Cl,0,1,1.2101
Rb.In.Bi.Cl-ortho,Rb,In,Bi,Cl,0,1,1.3492
Rb.In.Ga.Cl-ortho,Rb,In,Ga,Cl,0,1,1.8549
Rb.In.In.Cl-ortho,Rb,In,In,Cl,0,1,2.0694
Rb.In.Sb.Cl-ortho,Rb,In,Sb,Cl,0,1,1.4543
Rb.Tl.Al.Cl-ortho,Rb,Tl,Al,Cl,0,1,3.6754
Rb.Tl.As.Cl-ortho,Rb,Tl,As,Cl,0,1,1.9166
Rb.Tl.Bi.Cl-ortho,Rb,Tl,Bi,Cl,0,1,1.9577
Rb.Tl.Ga.Cl-ortho,Rb,Tl,Ga,Cl,0,1,2.6567
Rb.Tl.In.Cl-ortho,Rb,Tl,In,Cl,0,1,2.8388
Rb.Tl.Sb.Cl-ortho,Rb,Tl,Sb,Cl,0,1,1.9664
Cs.Ag.Al.I-ortho,Cs,Ag,Al,I,0,1,0.8116
Cs.Ag.As.I-ortho,Cs,Ag,As,I,0,1,0.2816
Cs.Ag.Bi.I-ortho,Cs,Ag,Bi,I,0,1,0.7825
Cs.Ag.Ga.I-ortho,Cs,Ag,Ga,I,0,1,0.5187
Cs.Ag.In.I-ortho,Cs,Ag,In,I,0,1,0.4092
Cs.Ag.Sb.I-ortho,Cs,Ag,Sb,I,0,1,0.5516
Cs.Au.Al.I-ortho,Cs,Au,Al,I,0,1,1.7988
Cs.Au.As.I-ortho,Cs,Au,As,I,0,1,0
Cs.Au.Bi.I-ortho,Cs,Au,Bi,I,0,1,0.0997
Cs.Au.Ga.I-ortho,Cs,Au,Ga,I,0,1,0.711
Cs.Au.In.I-ortho,Cs,Au,In,I,0,1,0.7908
Cs.Au.Sb.I-ortho,Cs,Au,Sb,I,0,1,0
Cs.Cu.Al.I-ortho,Cs,Cu,Al,I,0,1,1.1815
Cs.Cu.As.I-ortho,Cs,Cu,As,I,0,1,0
Cs.Cu.Bi.I-ortho,Cs,Cu,Bi,I,0,1,0.4616
Cs.Cu.Ga.I-ortho,Cs,Cu,Ga,I,0,1,0.5666
Cs.Cu.In.I-ortho,Cs,Cu,In,I,0,1,0.6155
Cs.Cu.Sb.I-ortho,Cs,Cu,Sb,I,0,1,0.2081
Cs.In.Al.I-ortho,Cs,In,Al,I,0,1,1.0898
Cs.In.As.I-ortho,Cs,In,As,I,0,1,0.0081
Cs.In.Bi.I-ortho,Cs,In,Bi,I,0,1,0.2795
Cs.In.Ga.I-ortho,Cs,In,Ga,I,0,1,0.4448
Cs.In.In.I-ortho,Cs,In,In,I,0,1,0.3965
Cs.In.Sb.I-ortho,Cs,In,Sb,I,0,1,0.304
Cs.Tl.Al.I-ortho,Cs,Tl,Al,I,0,1,1.4478
Cs.Tl.As.I-ortho,Cs,Tl,As,I,0,1,0.8489
Cs.Tl.Bi.I-ortho,Cs,Tl,Bi,I,0,1,0.8517
Cs.Tl.Ga.I-ortho,Cs,Tl,Ga,I,0,1,0.636
Cs.Tl.In.I-ortho,Cs,Tl,In,I,0,1,1.0243
Cs.Tl.Sb.I-ortho,Cs,Tl,Sb,I,0,1,0.9189
K.Ag.Al.I-ortho,K,Ag,Al,I,0,1,1.0595
K.Ag.As.I-ortho,K,Ag,As,I,0,1,0.8718
K.Ag.Bi.I-ortho,K,Ag,Bi,I,0,1,1.0267
K.Ag.Ga.I-ortho,K,Ag,Ga,I,0,1,0.5749
K.Ag.In.I-ortho,K,Ag,In,I,0,1,0.6171
K.Ag.Sb.I-ortho,K,Ag,Sb,I,0,1,0.9636
K.Au.Al.I-ortho,K,Au,Al,I,0,1,1.7916
K.Au.As.I-ortho,K,Au,As,I,0,1,1.5857
K.Au.Bi.I-ortho,K,Au,Bi,I,0,1,0.0997
K.Au.Ga.I-ortho,K,Au,Ga,I,0,1,0.707
K.Au.In.I-ortho,K,Au,In,I,0,1,0.8704
K.Au.Sb.I-ortho,K,Au,Sb,I,0,1,1.6469
K.Cu.Al.I-ortho,K,Cu,Al,I,0,1,1.3283
K.Cu.As.I-ortho,K,Cu,As,I,0,1,0.4083
K.Cu.Bi.I-ortho,K,Cu,Bi,I,0,1,0.6416
K.Cu.Ga.I-ortho,K,Cu,Ga,I,0,1,0.4593
K.Cu.In.I-ortho,K,Cu,In,I,0,1,0.5467
K.Cu.Sb.I-ortho,K,Cu,Sb,I,0,1,0.4952
K.In.Al.I-ortho,K,In,Al,I,0,1,1.3827
K.In.As.I-ortho,K,In,As,I,0,1,0.5268
K.In.Bi.I-ortho,K,In,Bi,I,0,1,0.5802
K.In.Ga.I-ortho,K,In,Ga,I,0,1,0.7663
K.In.In.I-ortho,K,In,In,I,0,1,0.6951
K.In.Sb.I-ortho,K,In,Sb,I,0,1,0.7056
K.Tl.Al.I-ortho,K,Tl,Al,I,0,1,1.6961
K.Tl.As.I-ortho,K,Tl,As,I,0,1,1.173
K.Tl.Bi.I-ortho,K,Tl,Bi,I,0,1,1.088
K.Tl.Ga.I-ortho,K,Tl,Ga,I,0,1,0.8671
K.Tl.In.I-ortho,K,Tl,In,I,0,1,1.2492
K.Tl.Sb.I-ortho,K,Tl,Sb,I,0,1,1.2075
Rb.Ag.Al.I-ortho,Rb,Ag,Al,I,0,1,0.8823
Rb.Ag.As.I-ortho,Rb,Ag,As,I,0,1,0.6606
Rb.Ag.Bi.I-ortho,Rb,Ag,Bi,I,0,1,0.9444
Rb.Ag.Ga.I-ortho,Rb,Ag,Ga,I,0,1,0.5923
Rb.Ag.In.I-ortho,Rb,Ag,In,I,0,1,0.5097
Rb.Ag.Sb.I-ortho,Rb,Ag,Sb,I,0,1,0.8157
Rb.Au.Al.I-ortho,Rb,Au,Al,I,0,1,1.7762
Rb.Au.As.I-ortho,Rb,Au,As,I,0,1,0
Rb.Au.Bi.I-ortho,Rb,Au,Bi,I,0,1,1.6172
Rb.Au.Ga.I-ortho,Rb,Au,Ga,I,0,1,0.7292
Rb.Au.In.I-ortho,Rb,Au,In,I,0,1,0.8177
Rb.Au.Sb.I-ortho,Rb,Au,Sb,I,0,1,1.6525
Rb.Cu.Al.I-ortho,Rb,Cu,Al,I,0,1,1.3409
Rb.Cu.As.I-ortho,Rb,Cu,As,I,0,1,0.3489
Rb.Cu.Bi.I-ortho,Rb,Cu,Bi,I,0,1,0.4945
Rb.Cu.Ga.I-ortho,Rb,Cu,Ga,I,0,1,0.4852
Rb.Cu.In.I-ortho,Rb,Cu,In,I,0,1,0.5673
Rb.Cu.Sb.I-ortho,Rb,Cu,Sb,I,0,1,0.4434
Rb.In.Al.I-ortho,Rb,In,Al,I,0,1,1.2484
Rb.In.As.I-ortho,Rb,In,As,I,0,1,0.368
Rb.In.Bi.I-ortho,Rb,In,Bi,I,0,1,0.4701
Rb.In.Ga.I-ortho,Rb,In,Ga,I,0,1,0.6304
Rb.In.In.I-ortho,Rb,In,In,I,0,1,0.5564
Rb.In.Sb.I-ortho,Rb,In,Sb,I,0,1,0.5575
Rb.Tl.Al.I-ortho,Rb,Tl,Al,I,0,1,1.5921
Rb.Tl.As.I-ortho,Rb,Tl,As,I,0,1,1.0584
Rb.Tl.Bi.I-ortho,Rb,Tl,Bi,I,0,1,1.0077
Rb.Tl.Ga.I-ortho,Rb,Tl,Ga,I,0,1,0.7727
Rb.Tl.In.I-ortho,Rb,Tl,In,I,0,1,1.1472
Rb.Tl.Sb.I-ortho,Rb,Tl,Sb,I,0,1,1.0951
