formula,A,B1,B2,X,tolerance_factor,Eg,irA,rsA,rpA,rdA,XcA,eaA,ipA,hoalA,lualA,irB1,rsB1,rpB1,rdB1,XcB1,eaB1,ipB1,hoalB1,lualB1,irB2,rsB2,rpB2,rdB2,XcB2,eaB2,ipB2,hoalB2,lualB2,irX,rsX,rpX,rdX,XcX,eaX,ipX,hoalX,lualX
Cs2YAgBr6,Cs,Ag,Y,Br,0.890259029,3.215399,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AuBiCl6,Cs,Au,Bi,Cl,1.045781171,0.616081,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScAuCl6,Cs,Au,Sc,Cl,0.909929912,1.870166,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScAuI6,Cs,Au,Sc,I,0.885647173,1.059449,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2ScAuBr6,Cs,Au,Sc,Br,0.899847569,1.559538,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2YAuCl6,Cs,Au,Y,Cl,0.885984388,2.114347,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2YAuI6,Cs,Au,Y,I,0.865066167,1.176587,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2YAuBr6,Cs,Au,Y,Br,0.877315037,1.70308,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CaRuCl6,Cs,Ca,Ru,Cl,0.925256746,0.952437,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.34,1.69,0.539,0,1,2.37,6.11316,6,7,0.68,1.41,0.515,0.622,2.2,101.3,28.47,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CaRuBr6,Cs,Ca,Ru,Br,0.914239071,0.667901,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.34,1.69,0.539,0,1,2.37,6.11316,6,7,0.68,1.41,0.515,0.622,2.2,101.3,28.47,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AlCuCl6,Cs,Cu,Al,Cl,1.059583359,0.641622,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuAsCl6,Cs,Cu,As,Cl,1.049989546,0.54283,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuBiCl6,Cs,Cu,Bi,Cl,1.188712539,0.923001,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuBiBr6,Cs,Cu,Bi,Br,1.1579062,0.625517,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CuSbCl6,Cs,Cu,Sb,Cl,1.013290883,0.656349,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.76,0.969,1.193,0.44,2.05,103.2,25.3,11,12,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScCuCl6,Cs,Cu,Sc,Cl,1.016250836,1.833585,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScCuI6,Cs,Cu,Sc,I,0.975484587,1.464804,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2ScCuBr6,Cs,Cu,Sc,Br,0.999186767,1.687355,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CuYCl6,Cs,Cu,Y,Cl,0.986474111,2.465706,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuYI6,Cs,Cu,Y,I,0.950575179,1.756031,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2CuYBr6,Cs,Cu,Y,Br,0.971481231,2.144473,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AlCuCl6,Cs,Cu,Al,Cl,1.068259579,0.641622,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
