"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2AgBI6","Ag","Ag","B","I","0.8271366717745161","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.27","0.769","0.776","0.0","2.04","26.7","37.93064","3","4","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgBBr6","Ag","Ag","B","Br","0.8376694592484146","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.27","0.769","0.776","0.0","2.04","26.7","37.93064","3","4","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgCoF6","Ag","Ag","Co","F","0.8229871566987242","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgCoCl6","Ag","Ag","Co","Cl","0.8025564568839051","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgCoI6","Ag","Ag","Co","I","0.7905964975194169","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgCoBr6","Ag","Ag","Co","Br","0.7975721396151136","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgCrF6","Ag","Ag","Cr","F","0.8103397141149897","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgCrCl6","Ag","Ag","Cr","Cl","0.7923698835417703","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgCrI6","Ag","Ag","Cr","I","0.7818051147034742","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgCrBr6","Ag","Ag","Cr","Br","0.787971099241415","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
