"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX" 
"Au2KFeF6","Au","K","Fe","F","0.7872941481252282","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KFeCl6","Au","K","Fe","Cl","0.7740446004038626","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KFeI6","Au","K","Fe","I","0.7661217629244234","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KFeBr6","Au","K","Fe","Br","0.7707579644357457","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KGaF6","Au","K","Ga","F","0.7760928086193815","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KGaCl6","Au","K","Ga","Cl","0.7648297837323882","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KGaI6","Au","K","Ga","I","0.7580694320828752","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KGaBr6","Au","K","Ga","Br","0.762027696230163","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KInF6","Au","K","In","F","0.7487012977269327","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KInCl6","Au","K","In","Cl","0.7421120673839013","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KInI6","Au","K","In","I","0.738120236501747","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KInBr6","Au","K","In","Br","0.7404608746387432","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KMnF6","Au","K","Mn","F","0.7824542250834747","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KMnCl6","Au","K","Mn","Cl","0.7700683438949387","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KMnI6","Au","K","Mn","I","0.7626499120350377","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KMnBr6","Au","K","Mn","Br","0.7669920460427372","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KMoF6","Au","K","Mo","F","0.7652057351517748","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KMoCl6","Au","K","Mo","Cl","0.7558317862767129","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KMoI6","Au","K","Mo","I","0.75018460886656","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KMoBr6","Au","K","Mo","Br","0.753492986032385","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.69","1.52","0.56","0.702","2.16","71.9","27.13","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KNF6","Au","K","N","F","0.8561382552482862","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KNCl6","Au","K","N","Cl","0.8297415365952846","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KNI6","Au","K","N","I","0.814313293172895","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KNBr6","Au","K","N","Br","0.8233096438290921","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.16","0.521","0.488","0.0","3.04","112.0","47.44924","3","4","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KNbF6","Au","K","Nb","F","0.7606327925114257","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KNbCl6","Au","K","Nb","Cl","0.7520399880177996","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KNbI6","Au","K","Nb","I","0.7468553872295783","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KNbBr6","Au","K","Nb","Br","0.7498934972456062","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.72","1.589","0.586","0.747","1.6","86.1","25.04","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KNiF6","Au","K","Ni","F","0.7792605343688482","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KNiCl6","Au","K","Ni","Cl","0.7674401242912019","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KNiI6","Au","K","Ni","I","0.7603527737457755","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KNiBr6","Au","K","Ni","Br","0.7645018121270141","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.6","1.139","0.339","0.325","1.91","112.0","35.19","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KPF6","Au","K","P","F","0.8055646874277124","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KPCl6","Au","K","P","Cl","0.7889823032186741","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KPI6","Au","K","P","I","0.7791269163073996","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KPBr6","Au","K","P","Br","0.7848885271170677","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.44","0.803","0.919","0.0","2.19","71.0","30.2027","5","6","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KPdF6","Au","K","Pd","F","0.7546198850607423","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.0","0.497","0.567","2.2","53.7","31.9373","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KPdCl6","Au","K","Pd","Cl","0.7470430445758209","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.0","0.497","0.567","2.2","53.7","31.9373","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KPdI6","Au","K","Pd","I","0.7424621202458748","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.0","0.497","0.567","2.2","53.7","31.9373","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KPdBr6","Au","K","Pd","Br","0.7451473358706339","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.0","0.497","0.567","2.2","53.7","31.9373","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KRhF6","Au","K","Rh","F","0.769058734825248","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.665","1.364","0.496","0.589","2.28","109.7","31.06","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KRhCl6","Au","K","Rh","Cl","0.7590209499318891","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.665","1.364","0.496","0.589","2.28","109.7","31.06","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KRhI6","Au","K","Rh","I","0.7529817177735941","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.665","1.364","0.496","0.589","2.28","109.7","31.06","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KRhBr6","Au","K","Rh","Br","0.7565190622815111","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.665","1.364","0.496","0.589","2.28","109.7","31.06","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KRuF6","Au","K","Ru","F","0.7667422928528828","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.68","1.41","0.515","0.622","2.2","101.3","28.47","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KRuCl6","Au","K","Ru","Cl","0.757104230361354","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.68","1.41","0.515","0.622","2.2","101.3","28.47","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KRuI6","Au","K","Ru","I","0.7513009550107067","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.68","1.41","0.515","0.622","2.2","101.3","28.47","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KRuBr6","Au","K","Ru","Br","0.7547005068433343","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.68","1.41","0.515","0.622","2.2","101.3","28.47","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KSbF6","Au","K","Sb","F","0.7546198850607423","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KSbCl6","Au","K","Sb","Cl","0.7470430445758209","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KSbI6","Au","K","Sb","I","0.7424621202458748","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KSbBr6","Au","K","Sb","Br","0.7451473358706339","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.76","0.969","1.193","0.44","2.05","103.2","25.3","11","12","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KScF6","Au","K","Sc","F","0.7568635517160271","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KScCl6","Au","K","Sc","Cl","0.7489090971434542","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KScI6","Au","K","Sc","I","0.7441035250806116","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KScBr6","Au","K","Sc","Br","0.7469200892470113","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KTiF6","Au","K","Ti","F","0.7682850338847799","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.67","1.477","0.468","0.489","1.54","7.6","27.4917","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KTiCl6","Au","K","Ti","Cl","0.758380965994341","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.67","1.477","0.468","0.489","1.54","7.6","27.4917","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KTiI6","Au","K","Ti","I","0.752420628565119","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.67","1.477","0.468","0.489","1.54","7.6","27.4917","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KTiBr6","Au","K","Ti","Br","0.7559119041255868","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.67","1.477","0.468","0.489","1.54","7.6","27.4917","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KVF6","Au","K","V","F","0.7729507324711249","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.64","1.453","0.416","0.427","1.63","50.6","29.311","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KVCl6","Au","K","V","Cl","0.762237140397702","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.64","1.453","0.416","0.427","1.63","50.6","29.311","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KVI6","Au","K","V","I","0.7557997631245433","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.64","1.453","0.416","0.427","1.63","50.6","29.311","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KVBr6","Au","K","V","Br","0.7595695423713559","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.64","1.453","0.416","0.427","1.63","50.6","29.311","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2KYF6","Au","K","Y","F","0.7343031958475685","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2KYCl6","Au","K","Y","Cl","0.7300647935627341","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2KYI6","Au","K","Y","I","0.7274844982236238","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2KYBr6","Au","K","Y","Br","0.7289986319972764","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2LiAgF6","Au","Li","Ag","F","0.8818421751518145","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2LiAgCl6","Au","Li","Ag","Cl","0.8501321603679475","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2LiAgI6","Au","Li","Ag","I","0.8317532813298105","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2LiAgBr6","Au","Li","Ag","Br","0.8424563797320941","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2LiAlF6","Au","Li","Al","F","0.9279165536834403","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2LiAlCl6","Au","Li","Al","Cl","0.8861476114968359","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2LiAlI6","Au","Li","Al","I","0.8622958868782151","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2LiAlBr6","Au","Li","Al","Br","0.876154634921378","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.535","1.044","1.312","0.0","1.61","42.5","28.44765","5","6","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2LiAsF6","Au","Li","As","F","0.9178789948094607","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2LiAsCl6","Au","Li","As","Cl","0.8783592047551644","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2LiAsI6","Au","Li","As","I","0.8557190538427032","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2LiAsBr6","Au","Li","As","Br","0.8688802883214772","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Au2LiBiF6","Au","Li","Bi","F","1.0665856475998203","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Au2LiBiCl6","Au","Li","Bi","Cl","0.990572495230494","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Au2LiBiI6","Au","Li","Bi","I","0.9490117326451032","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Au2LiBiBr6","Au","Li","Bi","Br","0.9730023063434724","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.92","1.586","0.0","0.0","0.98","59.6","5.39172","2","3","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
