"formula","A","B1","B2","X","tolerance_factor","Eg","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Na2MnCl3","Na","Mn","Mn","Cl","0.8168742598544952","2.2823","1.39","1.713","0.278","0.0","0.93","52.8","5.13908","4","5","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Rb2CaF3","Rb","Ca","Ca","F","0.9256118809523476","6.3974","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","1.0","1.69","0.539","0.0","1.0","2.37","11.871","7","6","1.0","1.69","0.539","0.0","1.0","2.37","11.871","7","6","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Rb2CdF3","Rb","Cd","Cd","F","0.81692260705264","3.1745","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","1.31","0.184","0.445","0.508","1.69","0.0","8.9938","10","11","1.31","0.184","0.445","0.508","1.69","0.0","8.9938","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Rb2HgF3","Rb","Hg","Hg","F","0.8731480496433076","0.6524","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","1.14","1.126","0.494","0.607","2.0","0.0","18.759","15","14","1.14","1.126","0.494","0.607","2.0","0.0","18.759","15","14","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Rb2GeCl3","Rb","Ge","Ge","Cl","0.9827113927513828","3.7552","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.73","0.8859999999999999","1.09","0.261","2.01","119.0","15.934","9","8","0.73","0.8859999999999999","1.09","0.261","2.01","119.0","15.934","9","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Rb2MgF3","Rb","Mg","Mg","F","1.052036918350717","6.9384","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.72","1.279","0.247","0.0","1.31","0.0","15.035","5","4","0.72","1.279","0.247","0.0","1.31","0.0","15.035","5","4","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Rb2MnF3","Rb","Mn","Mn","F","0.941779774069419","2.9422","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Rb2MnBr3","Rb","Mn","Mn","Br","0.8911482721803063","1.182","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Rb2NiCl3","Rb","Ni","Ni","Cl","0.9984347750354052","0.7214","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.69","1.139","0.339","0.325","1.91","112.0","18.168","8","7","0.69","1.139","0.339","0.325","1.91","112.0","18.168","8","7","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Rb2NiBr3","Rb","Ni","Ni","Br","0.9819445112326396","0.4723","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.69","1.139","0.339","0.325","1.91","112.0","18.168","8","7","0.69","1.139","0.339","0.325","1.91","112.0","18.168","8","7","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Rb2PbI3","Rb","Pb","Pb","I","0.8176573988941788","2.0","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","1.19","1.01","1.09","0.562","1.87","35.1","15.028","16","15","1.19","1.01","1.09","0.562","1.87","35.1","15.028","16","15","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.45126","12","11"
"Rb2VF3","Rb","V","V","F","1.0172998502919668","2.4491","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Rb2VBr3","Rb","V","V","Br","0.9462374380969072","0.5839","1.72","2.287","0.735","0.0","0.82","46.9","4.17713","9","10","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
